t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
348684,0,0.0,0,1.3482,0.8864,0.1902,0.3966106403010388,0.8864,0.1902,14.830200000000001,21.993483204000004,2.521364528296496,6.357279084551812,-1.634964528296496,-6.167079084551812,-0.6484443284371592,-0.97008154
348734,50,0.05,0,1.3458,0.8873,0.1942,0.3966106403010388,0.8873,0.1942,14.8038,21.915249444000004,2.521364528296496,6.357279084551812,-1.634064528296496,-6.1630790845518115,-0.6480873788608883,-0.9694523399999999
348784,100,0.1,0,1.341,0.8856,0.1958,0.3966106403010388,0.8856,0.1958,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.6357645282964959,-6.161479084551812,-0.6487616169493999,-0.9692006599999999
348834,150,0.15,0,1.3426,0.8824,0.191,0.3966106403010388,0.8824,0.191,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.638964528296496,-6.166279084551812,-0.6500307709983634,-0.9699557
348884,200,0.2,0,1.3418,0.8897,0.1942,0.3966106403010388,0.8897,0.1942,14.759800000000002,21.785169604000007,2.521364528296496,6.357279084551812,-1.631664528296496,-6.1630790845518115,-0.6471355133241657,-0.9694523399999999
348934,250,0.25,0,1.3385,0.8768,0.195,0.3966106403010388,0.8768,0.195,14.7235,21.678145225,2.521364528296496,6.357279084551812,-1.644564528296496,-6.162279084551812,-0.6522517905840491,-0.9693265
348984,300,0.3,0,1.3418,0.8873,0.1942,0.3966106403010388,0.8873,0.1942,14.759800000000002,21.785169604000007,2.521364528296496,6.357279084551812,-1.634064528296496,-6.1630790845518115,-0.6480873788608883,-0.9694523399999999
349034,350,0.35,0,1.341,0.8808,0.1982,0.3966106403010388,0.8808,0.1982,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.640564528296496,-6.159079084551812,-0.650665348022845,-0.96882314
349084,400,0.4,0,1.341,0.8824,0.1894,0.3966106403010388,0.8824,0.1894,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.638964528296496,-6.167879084551812,-0.6500307709983634,-0.97020738
349134,450,0.45,0,1.3418,0.8792,0.199,0.3966106403010388,0.8792,0.199,14.759800000000002,21.785169604000007,2.521364528296496,6.357279084551812,-1.642164528296496,-6.158279084551812,-0.6512999250473267,-0.9686973
349184,500,0.5,0,1.3482,0.8784,0.195,0.3966106403010388,0.8784,0.195,14.830200000000001,21.993483204000004,2.521364528296496,6.357279084551812,-1.642964528296496,-6.162279084551812,-0.6516172135595675,-0.9693265
349234,550,0.55,0,1.3426,0.8784,0.1934,0.3966106403010388,0.8784,0.1934,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.642964528296496,-6.163879084551812,-0.6516172135595675,-0.9695781800000001
349284,600,0.6,0,1.3418,0.8784,0.1934,0.3966106403010388,0.8784,0.1934,14.759800000000002,21.785169604000007,2.521364528296496,6.357279084551812,-1.642964528296496,-6.163879084551812,-0.6516172135595675,-0.9695781800000001
349334,650,0.65,0,1.3426,0.8727,0.1942,0.3966106403010388,0.8727,0.1942,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.648664528296496,-6.1630790845518115,-0.6538778942092834,-0.9694523399999999
349384,700,0.7,0,1.341,0.8768,0.195,0.3966106403010388,0.8768,0.195,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.644564528296496,-6.162279084551812,-0.6522517905840491,-0.9693265
349434,750,0.75,0,1.3442,0.8768,0.1942,0.3966106403010388,0.8768,0.1942,14.786200000000001,21.863171044000005,2.521364528296496,6.357279084551812,-1.644564528296496,-6.1630790845518115,-0.6522517905840491,-0.9694523399999999
349484,800,0.8,0,1.3426,0.8808,0.1942,0.3966106403010388,0.8808,0.1942,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.640564528296496,-6.1630790845518115,-0.650665348022845,-0.9694523399999999
349534,850,0.85,0,1.341,0.8768,0.195,0.3966106403010388,0.8768,0.195,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.644564528296496,-6.162279084551812,-0.6522517905840491,-0.9693265
349584,900,0.9,0,1.345,0.8752,0.1934,0.3966106403010388,0.8752,0.1934,14.795,21.8892025,2.521364528296496,6.357279084551812,-1.646164528296496,-6.163879084551812,-0.6528863676085308,-0.9695781800000001
349634,950,0.95,0,1.3426,0.8768,0.1982,0.3966106403010388,0.8768,0.1982,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.644564528296496,-6.159079084551812,-0.6522517905840491,-0.96882314
349684,1000,1.0,0,1.3442,0.8744,0.2007,0.3966106403010388,0.8744,0.2007,14.786200000000001,21.863171044000005,2.521364528296496,6.357279084551812,-1.646964528296496,-6.156579084551812,-0.6532036561207716,-0.9684298899999999
349734,1050,1.05,0,1.3426,0.88,0.1926,0.3966106403010388,0.88,0.1926,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.6413645282964962,-6.164679084551812,-0.6509826365350859,-0.96970402
349784,1100,1.1,0,1.3401,0.8695,0.1926,0.3966106403010388,0.8695,0.1926,14.741100000000001,21.730002921000004,2.521364528296496,6.357279084551812,-1.651864528296496,-6.164679084551812,-0.6551470482582468,-0.96970402
349834,1150,1.15,0,1.3418,0.8736,0.1958,0.3966106403010388,0.8736,0.1958,14.759800000000002,21.785169604000007,2.521364528296496,6.357279084551812,-1.647764528296496,-6.161479084551812,-0.6535209446330125,-0.9692006599999999
349884,1200,1.2,0,1.3426,0.8727,0.1934,0.3966106403010388,0.8727,0.1934,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.648664528296496,-6.163879084551812,-0.6538778942092834,-0.9695781800000001
349934,1250,1.25,0,1.3434,0.8687,0.195,0.3966106403010388,0.8687,0.195,14.7774,21.837155076,2.521364528296496,6.357279084551812,-1.652664528296496,-6.162279084551812,-0.6554643367704875,-0.9693265
349984,1300,1.3,0,1.341,0.8727,0.1934,0.3966106403010388,0.8727,0.1934,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.648664528296496,-6.163879084551812,-0.6538778942092834,-0.9695781800000001
350034,1350,1.35,0,1.341,0.8695,0.1942,0.3966106403010388,0.8695,0.1942,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.651864528296496,-6.1630790845518115,-0.6551470482582468,-0.9694523399999999
350084,1400,1.4,0,1.341,0.8727,0.1934,0.3966106403010388,0.8727,0.1934,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.648664528296496,-6.163879084551812,-0.6538778942092834,-0.9695781800000001
350134,1450,1.45,0,1.341,0.8727,0.1966,0.3966106403010388,0.8727,0.1966,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.648664528296496,-6.160679084551812,-0.6538778942092834,-0.96907482
350184,1500,1.5,0,1.345,0.8752,0.1942,0.3966106403010388,0.8752,0.1942,14.795,21.8892025,2.521364528296496,6.357279084551812,-1.646164528296496,-6.1630790845518115,-0.6528863676085308,-0.9694523399999999
350234,1550,1.55,0,1.345,0.8736,0.1982,0.3966106403010388,0.8736,0.1982,14.795,21.8892025,2.521364528296496,6.357279084551812,-1.647764528296496,-6.159079084551812,-0.6535209446330125,-0.96882314
350284,1600,1.6,0,1.3434,0.876,0.1942,0.3966106403010388,0.876,0.1942,14.7774,21.837155076,2.521364528296496,6.357279084551812,-1.6453645282964962,-6.1630790845518115,-0.65256907909629,-0.9694523399999999
350334,1650,1.65,0,1.341,0.8736,0.191,0.3966106403010388,0.8736,0.191,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.647764528296496,-6.166279084551812,-0.6535209446330125,-0.9699557
350384,1700,1.7,0,1.3434,0.8752,0.195,0.3966106403010388,0.8752,0.195,14.7774,21.837155076,2.521364528296496,6.357279084551812,-1.646164528296496,-6.162279084551812,-0.6528863676085308,-0.9693265
350434,1750,1.75,0,1.3434,0.8719,0.1958,0.3966106403010388,0.8719,0.1958,14.7774,21.837155076,2.521364528296496,6.357279084551812,-1.649464528296496,-6.161479084551812,-0.6541951827215242,-0.9692006599999999
350484,1800,1.8,0,1.345,0.8703,0.1958,0.3966106403010388,0.8703,0.1958,14.795,21.8892025,2.521364528296496,6.357279084551812,-1.6510645282964962,-6.161479084551812,-0.654829759746006,-0.9692006599999999
350534,1850,1.85,0,1.349,0.8752,0.1942,0.3966106403010388,0.8752,0.1942,14.839,22.0195921,2.521364528296496,6.357279084551812,-1.646164528296496,-6.1630790845518115,-0.6528863676085308,-0.9694523399999999
350584,1900,1.9,0,1.3426,0.876,0.2007,0.3966106403010388,0.876,0.2007,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.6453645282964962,-6.156579084551812,-0.65256907909629,-0.9684298899999999
350634,1950,1.95,0,1.3426,0.8792,0.1934,0.3966106403010388,0.8792,0.1934,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.642164528296496,-6.163879084551812,-0.6512999250473267,-0.9695781800000001
350684,2000,2.0,0,1.341,0.876,0.1982,0.3966106403010388,0.876,0.1982,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.6453645282964962,-6.159079084551812,-0.65256907909629,-0.96882314
350734,2050,2.05,0,1.3426,0.8752,0.1934,0.3966106403010388,0.8752,0.1934,14.7686,21.811154595999998,2.521364528296496,6.357279084551812,-1.646164528296496,-6.163879084551812,-0.6528863676085308,-0.9695781800000001
350784,2100,2.1,0,1.341,0.8768,0.1934,0.3966106403010388,0.8768,0.1934,14.751,21.759200099999997,2.521364528296496,6.357279084551812,-1.644564528296496,-6.163879084551812,-0.6522517905840491,-0.9695781800000001
