t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
306345,1550,1.550000,0,0.820400,0.764800,0.000000,0.392460,0.764800,0.000000,9.061560,5.384384,2.548029,6.492453,-1.783229,-6.492453,-0.699846,-1.000000
306395,1600,1.600000,0,0.833300,0.760700,0.000000,0.392460,0.760700,0.000000,9.204044,5.555044,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306445,1650,1.650000,0,0.820400,0.760700,0.000000,0.392460,0.760700,0.000000,9.061560,5.384384,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306495,1700,1.700000,0,0.822000,0.760700,0.000000,0.392460,0.760700,0.000000,9.079232,5.405407,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306545,1750,1.750000,0,0.824400,0.760700,0.000000,0.392460,0.760700,0.000000,9.105741,5.437017,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306595,1800,1.800000,0,0.814700,0.759900,0.000000,0.392460,0.759900,0.000000,8.998601,5.309825,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
306645,1850,1.850000,0,0.824400,0.761500,0.000000,0.392460,0.761500,0.000000,9.105741,5.437017,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
306695,1900,1.900000,0,0.822800,0.760700,0.000000,0.392460,0.760700,0.000000,9.088068,5.415933,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306745,1950,1.950000,0,0.832500,0.760700,0.000000,0.392460,0.760700,0.000000,9.195208,5.544383,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306795,2000,2.000000,0,0.823600,0.760700,0.000000,0.392460,0.760700,0.000000,9.096904,5.426470,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306845,2050,2.050000,0,0.834100,0.760700,0.000000,0.392460,0.760700,0.000000,9.212880,5.565715,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
